algorithm,value,std
sphincsshake256ssimple,8.169179429,0.008413728
sphincsshake256fsimple,8.174972343,0.018642011
sphincsshake192ssimple,8.173041371,0.018465561
sphincsshake192fsimple,8.178717257,0.0251958
sphincsshake128ssimple,8.175440457,0.020059381
sphincsshake128fsimple,8.173041371,0.015689143
sphincssha2256ssimple,8.1723392,0.015477386
sphincssha2256fsimple,8.178658743,0.027175926
sphincssha2192ssimple,8.175908571,0.023465795
sphincssha2192fsimple,8.175147886,0.02203605
sphincssha2128ssimple,8.172924343,0.018501267
sphincssha2128fsimple,8.165844114,0.002542492
mldsa87,8.170057143,0.009587874
mldsa65,8.173626514,0.014235885
mldsa44,8.17152,0.012687159
falcon512,8.177722514,0.023583844
falcon1024,8.175440457,0.016151365
RSA,8.177137371,0.019440562
EC,8.1739776,0.014717211
