algorithm,value,std
sphincsshake256ssimple,9.479548343,0.006034619
sphincsshake256fsimple,9.4818304,0.01126926
sphincsshake192ssimple,9.480718629,0.010896771
sphincsshake192fsimple,9.480894171,0.010218522
sphincsshake128ssimple,9.4830592,0.015880591
sphincsshake128fsimple,9.479899429,0.00817927
sphincssha2256ssimple,9.481186743,0.009269389
sphincssha2256fsimple,9.479431314,0.006635559
sphincssha2192ssimple,9.483351771,0.016908693
sphincssha2192fsimple,9.485341257,0.015908673
sphincssha2128ssimple,9.480426057,0.009951244
sphincssha2128fsimple,9.480309029,0.01061533
mldsa87,9.377499429,0.110583362
mldsa65,9.297217829,0.093689012
mldsa44,9.248241371,0.052114543
falcon512,9.228405029,0.025526905
falcon1024,9.477617371,0.012819122
RSA,9.201722514,0.032385424
EC,9.211611429,0.009233533
