algorithm,value,std
sphincsshake256ssimple,109.6757248,0.034624993
sphincsshake256fsimple,109.781284571,0.088819209
sphincsshake192ssimple,109.663729371,0.03639717
sphincsshake192fsimple,109.681166629,0.033401297
sphincsshake128ssimple,109.637632,0.028214655
sphincsshake128fsimple,109.6523776,0.028932856
sphincssha2256ssimple,109.673325714,0.035905995
sphincssha2256fsimple,109.7760768,0.081570799
sphincssha2192ssimple,109.667064686,0.048791002
sphincssha2192fsimple,109.687135086,0.040100576
sphincssha2128ssimple,109.650388114,0.040683285
sphincssha2128fsimple,109.666655086,0.042963415
mldsa87,109.618848914,0.026328912
mldsa65,109.606970514,0.034075653
mldsa44,109.600416914,0.037506394
falcon512,109.591815314,0.048726174
falcon1024,109.628035657,0.016411961
RSA,109.353428114,0.013125975
EC,109.362848914,0.022290571
