algorithm,value,std
sphincsshake256ssimple,1.508381257,0.020718603
sphincsshake256fsimple,1.518445714,0.025492455
sphincsshake192ssimple,1.512477257,0.005543191
sphincsshake192fsimple,1.523536457,0.037975641
sphincsshake128ssimple,1.5106048,0.011441023
sphincsshake128fsimple,1.510838858,0.030623427
sphincssha2256ssimple,1.602062629,0.023935661
sphincssha2256fsimple,1.587960685,0.018033112
sphincssha2192ssimple,1.584040228,0.020410257
sphincssha2192fsimple,1.589130972,0.016787983
sphincssha2128ssimple,1.595567543,0.043323783
sphincssha2128fsimple,1.585737143,0.016570355
mldsa87,1.409726172,0.080255142
mldsa65,1.32096,0.017643371
mldsa44,1.317390628,0.01424808
falcon512,1.578773943,0.016998433
falcon1024,1.765610057,0.01918951
RSA,0.805449143,0.036777351
EC,0.854718172,0.087412222
