algorithm,value,std
sphincsshake256ssimple,200.6450176,0.081832606
sphincsshake256fsimple,200.608270629,0.089517418
sphincsshake192ssimple,200.661167543,0.081766149
sphincsshake192fsimple,200.605578971,0.08271037
sphincsshake128ssimple,200.604291657,0.09631813
sphincsshake128fsimple,200.5635072,0.06148959
sphincssha2256ssimple,200.710436571,0.104374055
sphincssha2256fsimple,200.765908114,0.049634634
sphincssha2192ssimple,200.677258971,0.111133464
sphincssha2192fsimple,200.602711771,0.098221795
sphincssha2128ssimple,200.682876343,0.107629675
sphincssha2128fsimple,200.626702628,0.105235556
mldsa87,200.562102857,0.03959468
mldsa65,200.534542628,0.039177664
mldsa44,200.539516342,0.038704414
falcon512,200.796511086,0.060113346
falcon1024,200.842737372,0.048877212
RSA,0.048098743,0.045999767
EC,0.044295314,0.06385334
