algorithm,value,std
sphincsshake256ssimple,0.011819886,0.032991753
sphincsshake256fsimple,0.196256914,0.077223597
sphincsshake192ssimple,0.006319543,0.016969903
sphincsshake192fsimple,0.004681143,0.014700916
sphincsshake128ssimple,0.000117028,0.015751232
sphincsshake128fsimple,0.001872457,0.008823999
sphincssha2256ssimple,0.246286628,0.033082647
sphincssha2256fsimple,0.251728458,0.019091877
sphincssha2192ssimple,0.257755429,0.009369465
sphincssha2192fsimple,0.248978286,0.02683488
sphincssha2128ssimple,0.253893486,0.021138922
sphincssha2128fsimple,0.256292571,0.012338777
mldsa87,0.092920685,0.109681579
mldsa65,0.156525715,0.106496604
mldsa44,0.241898058,0.038161279
falcon512,0.516213029,0.018938799
falcon1024,0.252957257,0.025397922
RSA,0.010766629,0.03957068
EC,0.003159771,0.014089712
