algorithm,value,std
sphincsshake256ssimple,9.631041829,0.075351563
sphincsshake256fsimple,9.5387648,0.084527832
sphincsshake192ssimple,9.586044343,0.086765746
sphincsshake192fsimple,9.537477486,0.077285511
sphincsshake128ssimple,9.573814857,0.087830135
sphincsshake128fsimple,9.527647086,0.07469371
sphincssha2256ssimple,9.7271808,0.057405873
sphincssha2256fsimple,9.746958629,0.019440562
sphincssha2192ssimple,9.743096686,0.045533991
sphincssha2192fsimple,9.747602286,0.013006881
sphincssha2128ssimple,9.738766629,0.04627359
sphincssha2128fsimple,9.745554286,0.012121506
mldsa87,9.483936914,0.015396944
mldsa65,9.476154514,0.004169126
mldsa44,9.476739657,0.003747934
falcon512,9.725483886,0.030717371
falcon1024,9.740522057,0.007276723
RSA,9.157485714,0.047384582
EC,9.217521371,0.007151535
