algorithm,value,std
sphincsshake256ssimple,9.475159771,0.007794152
sphincsshake256fsimple,9.469952,0.02203006
sphincsshake192ssimple,9.4687232,0.024039343
sphincsshake192fsimple,9.460472686,0.035383473
sphincsshake128ssimple,9.4724096,0.013109426
sphincsshake128fsimple,9.4662656,0.021809873
sphincssha2256ssimple,9.519455086,0.055107116
sphincssha2256fsimple,9.478319543,0.005683963
sphincssha2192ssimple,9.505762743,0.046632214
sphincssha2192fsimple,9.476154514,0.002677572
sphincssha2128ssimple,9.514481371,0.051796307
sphincssha2128fsimple,9.478378057,0.007635441
mldsa87,9.225771886,0.023764095
mldsa65,9.222670629,0.018778926
mldsa44,9.216175543,0.008749879
falcon512,9.478378057,0.00717578
falcon1024,9.574282971,0.102312632
RSA,8.997332114,0.06610597
EC,9.210499657,0.011561828
