algorithm,value,std
sphincsshake256ssimple,310.273404343,0.079350529
sphincsshake256fsimple,310.2375936,0.086489314
sphincsshake192ssimple,310.295464229,0.077656421
sphincsshake192fsimple,310.2416896,0.076213616
sphincsshake128ssimple,310.251988114,0.084178885
sphincsshake128fsimple,310.198623086,0.052104377
sphincssha2256ssimple,310.339466971,0.101680905
sphincssha2256fsimple,310.3944704,0.043728586
sphincssha2192ssimple,310.317290057,0.105306416
sphincssha2192fsimple,310.241514057,0.091357119
sphincssha2128ssimple,310.313603657,0.104193973
sphincssha2128fsimple,310.266090057,0.097618039
mldsa87,310.168605257,0.020773936
mldsa65,310.151226514,0.036740072
mldsa44,310.146135771,0.028726404
falcon512,310.3916032,0.045827049
falcon1024,310.463458743,0.046969913
RSA,109.392398629,0.040505862
EC,109.407495314,0.058636644
