algorithm,value,std
sphincsshake256ssimple,310.213778286,0.035978717
sphincsshake256fsimple,310.247950629,0.040385628
sphincsshake192ssimple,310.1966336,0.035968625
sphincsshake192fsimple,310.213719771,0.038526082
sphincsshake128ssimple,310.1851648,0.035787002
sphincsshake128fsimple,310.1851648,0.036118387
sphincssha2256ssimple,310.234609371,0.048101545
sphincssha2256fsimple,310.314832457,0.08127841
sphincssha2192ssimple,310.214948571,0.051449645
sphincssha2192fsimple,310.233790171,0.044797417
sphincssha2128ssimple,310.217698743,0.056246686
sphincssha2128fsimple,310.220448914,0.047232191
mldsa87,310.1536256,0.031528754
mldsa65,310.125831314,0.056466107
mldsa44,310.122144914,0.057709578
falcon512,310.1831168,0.032763176
falcon1024,310.199559314,0.042956624
RSA,109.392340114,0.041925388
EC,109.355242057,0.00693453
