algorithm,value,std
sphincsshake256ssimple,284.20941100000005,0.997481
sphincsshake256fsimple,284.517308,0.946277
sphincsshake192ssimple,284.630873,0.7778849999999999
sphincsshake192fsimple,285.09495899999996,1.06655
sphincsshake128ssimple,283.978091,0.896043
sphincsshake128fsimple,285.468006,0.770613
sphincssha2256ssimple,285.744704,0.864696
sphincssha2256fsimple,286.284004,0.828882
sphincssha2192ssimple,283.537877,0.703783
sphincssha2192fsimple,286.404612,1.0108599999999999
sphincssha2128ssimple,285.982228,0.711053
sphincssha2128fsimple,286.555871,1.1187790000000002
mldsa87,286.533956,0.8616
mldsa65,286.50745700000004,0.7482300000000001
mldsa44,287.225766,0.832796
falcon512,286.903838,0.682354
falcon1024,287.001737,0.7441089999999999
RSA,286.57390799999996,0.707397
EC,286.653304,0.8082910000000001
