algorithm,value,std
sphincsshake256ssimple,201.011902,0.836058
sphincsshake256fsimple,201.16309700000002,0.753381
sphincsshake192ssimple,201.962634,0.707817
sphincsshake192fsimple,202.231193,0.850874
sphincsshake128ssimple,201.831771,0.564238
sphincsshake128fsimple,202.207012,0.738144
sphincssha2256ssimple,201.492749,0.846395
sphincssha2256fsimple,201.412211,0.602171
sphincssha2192ssimple,202.02467900000002,0.5367940000000001
sphincssha2192fsimple,202.177347,0.6972579999999999
sphincssha2128ssimple,202.427761,0.721409
sphincssha2128fsimple,202.316769,0.7377809999999999
mldsa87,202.43438999999998,0.667034
mldsa65,202.058454,0.599628
mldsa44,202.595071,0.625999
falcon512,201.347531,0.683141
falcon1024,202.752881,0.705255
RSA,199.407293,0.726331
EC,199.36216100000001,0.616838
