algorithm,value,std
sphincsshake256ssimple,431.979089,0.937922
sphincsshake256fsimple,433.141539,0.955357
sphincsshake192ssimple,432.45294099999995,0.770548
sphincsshake192fsimple,433.78305,0.899979
sphincsshake128ssimple,432.700358,0.942748
sphincsshake128fsimple,433.069932,0.779575
sphincssha2256ssimple,433.520106,0.5718089999999999
sphincssha2256fsimple,434.807146,0.726534
sphincssha2192ssimple,434.316896,0.793141
sphincssha2192fsimple,435.39261400000004,0.7658539999999999
sphincssha2128ssimple,433.639538,0.821173
sphincssha2128fsimple,435.011954,0.8550209999999999
mldsa87,434.23492699999997,0.7723880000000001
mldsa65,434.414491,0.8059719999999999
mldsa44,435.28668,0.823296
falcon512,434.46065600000003,0.985794
falcon1024,435.739693,0.9988720000000001
RSA,432.30733100000003,0.9993350000000001
EC,431.685858,0.929709
