algorithm,value,std
sphincsshake256ssimple,7571.263431,5.242202
sphincsshake256fsimple,820.468036,1.49891
sphincsshake192ssimple,8793.041702,13.063815
sphincsshake192fsimple,419.730159,1.05912
sphincsshake128ssimple,5154.532634,9.377847
sphincsshake128fsimple,272.510485,1.1990589999999999
sphincssha2256ssimple,11023.294856,3.077807
sphincssha2256fsimple,1154.881107,1.2412429999999999
sphincssha2192ssimple,12690.109398,4.637443
sphincssha2192fsimple,584.730194,1.204494
sphincssha2128ssimple,7492.732961,3.562516
sphincssha2128fsimple,377.677976,1.189851
mldsa87,36.059277,2.1862600000000003
mldsa65,34.750294000000004,1.535208
mldsa44,32.581659,1.449507
falcon512,67.301037,5.849756999999999
falcon1024,129.552636,10.802862999999999
RSA,1911.95343,683.472337
EC,23.293463,0.814348
