algorithm,value,std
sphincsshake256ssimple,598.823727,1.140711
sphincsshake256fsimple,53.1853,1.0334560000000002
sphincsshake192ssimple,891.916172,0.8109299999999999
sphincsshake192fsimple,30.131469000000003,1.029069
sphincsshake128ssimple,612.3358450000001,1.32908
sphincsshake128fsimple,25.513464,0.957137
sphincssha2256ssimple,850.375344,1.136129
sphincssha2256fsimple,69.314864,0.990612
sphincssha2192ssimple,1267.359944,1.24584
sphincssha2192fsimple,37.299015,0.820575
sphincssha2128ssimple,883.285984,1.56566
sphincssha2128fsimple,31.31395,1.037932
mldsa87,17.756123,1.101019
mldsa65,16.358643999999998,1.242321
mldsa44,16.471346,1.0101909999999998
falcon512,54.480906000000004,6.157748
falcon1024,114.383771,11.591471
RSA,2128.524627,724.699457
EC,15.864422,1.161271
