algorithm,value,std
sphincsshake256ssimple,6959.519168,5.246383000000001
sphincsshake256fsimple,745.680792,1.0656400000000001
sphincsshake192ssimple,7890.9874469999995,11.289934
sphincsshake192fsimple,367.931536,1.107421
sphincsshake128ssimple,4536.648053000001,8.659262
sphincsshake128fsimple,231.54401,1.18997
sphincssha2256ssimple,10170.339218000001,5.069199
sphincssha2256fsimple,1058.499681,1.131537
sphincssha2192ssimple,11426.702940000001,4.867024
sphincssha2192fsimple,520.440216,0.9418780000000001
sphincssha2128ssimple,6602.415927,3.023832
sphincssha2128fsimple,326.19863300000003,1.2152129999999999
mldsa87,16.652865,1.796954
mldsa65,15.809398999999999,2.1623829999999997
mldsa44,14.734515,1.8090739999999998
falcon512,13.54595,0.959123
falcon1024,15.001173,1.143578
RSA,20.385075999999998,1.1601190000000001
EC,9.896408000000001,0.858585
