algorithm,value,std
sphincsshake256ssimple,14.464232,0.8122029999999999
sphincsshake256fsimple,24.789074000000003,0.851723
sphincsshake192ssimple,10.990267,0.823324
sphincsshake192fsimple,23.577682,0.745269
sphincsshake128ssimple,9.332852,0.913734
sphincsshake128fsimple,17.774919,0.86483
sphincssha2256ssimple,24.904329,0.806882
sphincssha2256fsimple,39.609173,0.891394
sphincssha2192ssimple,20.537663000000002,0.844645
sphincssha2192fsimple,38.775231,0.95098
sphincssha2128ssimple,17.035532999999997,0.9927219999999999
sphincssha2128fsimple,29.440823,0.901309
mldsa87,6.622575,0.8115629999999999
mldsa65,5.81485,0.842604
mldsa44,6.004284999999999,0.932559
falcon512,6.206271999999999,0.912674
falcon1024,5.916406,0.8420660000000001
RSA,3.400513,0.97698
EC,4.0945469999999995,0.922981
