algorithm,value,std
sphincsshake256ssimple,12239.687684,5.15552
sphincsshake256fsimple,5491.0786419999995,4.207779
sphincsshake192ssimple,13460.126985,12.844645
sphincsshake192fsimple,5094.472326,4.304942
sphincsshake128ssimple,9824.629117,8.49545
sphincsshake128fsimple,4950.3256599999995,3.163353
sphincssha2256ssimple,14645.401797,4.131761
sphincssha2256fsimple,4778.269332,3.51381
sphincssha2192ssimple,16307.782045,5.790469000000001
sphincssha2192fsimple,4212.085754000001,3.5945579999999997
sphincssha2128ssimple,12247.764172,5.976409
sphincssha2128fsimple,5142.754944,2.6365529999999997
mldsa87,3650.273045,3.648985
mldsa65,3650.5618160000004,3.404525
mldsa44,3650.1938680000003,3.333888
falcon512,3683.336016,5.012525999999999
falcon1024,3749.752673,13.227096000000001
RSA,4725.611478,737.566863
EC,2490.606093,0.936196
