algorithm,value,std
sphincsshake256ssimple,7164.096525,5.131784000000001
sphincsshake256fsimple,950.185584,0.9778079999999999
sphincsshake192ssimple,8093.511507,13.360612
sphincsshake192fsimple,572.756804,0.8283640000000001
sphincsshake128ssimple,4752.751,1.761503
sphincsshake128fsimple,436.68753300000003,0.924784
sphincssha2256ssimple,10372.378996,3.81392
sphincssha2256fsimple,1262.295017,0.8229850000000001
sphincssha2192ssimple,11630.630836,3.9901950000000004
sphincssha2192fsimple,725.553757,0.906193
sphincssha2128ssimple,6809.34333,3.282085
sphincssha2128fsimple,532.007873,1.2586249999999999
mldsa87,221.417483,1.990605
mldsa65,219.555527,1.580284
mldsa44,219.149065,1.411724
falcon512,217.443593,0.797057
falcon1024,219.658782,0.8036770000000001
RSA,221.025007,0.6356480000000001
EC,210.97049,0.748215
