algorithm,value,std
sphincsshake256ssimple,218.395976,0.526406
sphincsshake256fsimple,229.060289,0.49602100000000005
sphincsshake192ssimple,216.431761,0.63034
sphincsshake192fsimple,229.583193,0.607468
sphincsshake128ssimple,213.816328,0.8052590000000001
sphincsshake128fsimple,222.813034,0.703088
sphincssha2256ssimple,229.362377,0.5725669999999999
sphincssha2256fsimple,244.16579,0.595551
sphincssha2192ssimple,225.11738300000002,0.624833
sphincssha2192fsimple,243.512868,0.536258
sphincssha2128ssimple,223.00475699999998,0.661438
sphincssha2128fsimple,235.81384799999998,0.728006
mldsa87,211.062238,0.6067009999999999
mldsa65,210.465934,0.639865
mldsa44,210.36667400000002,0.576994
falcon512,209.687718,0.6269370000000001
falcon1024,211.324354,0.834453
RSA,204.327352,0.730043
EC,205.346333,0.812613
