algorithm,operation,size,reps,trim_pct,trim_wall_s_raw,std_wall_s_raw,trim_cpu_s_raw,std_cpu_s_raw,trim_wall_s_base,std_wall_s_base,trim_cpu_s_base,std_cpu_s_base,net_wall_s,std_net_wall_s,net_cpu_s,std_net_cpu_s,trim_mem_mb_raw,std_mem_mb_raw,trim_mem_mb_base,std_mem_mb_base,net_mem_mb,std_net_mem_mb
sphincsshake256ssimple,keygen,-,100,15,0.067008731,0.000166843,0.063637114,0.000088529,0.008893860,0.000097417,0.005909286,0.000026854,0.058114871,0.000193201,0.057727828,0.000092512,9.539584000,0.103068611,8.395161600,0.023600923,1.144422400,0.105736191
sphincsshake256ssimple,sign,256,100,15,0.689172146,0.000631849,0.684271814,0.000504992,0.027345155,0.000161718,0.023808743,0.000050139,0.661826991,0.000652216,0.660463071,0.000507475,10.214429257,0.022890015,9.675512686,0.009232780,0.538916571,0.024681917
sphincsshake256ssimple,sign,100000,100,15,0.689411778,0.000555069,0.685924629,0.000904107,0.027372801,0.000150523,0.023864957,0.000052953,0.662038977,0.000575116,0.662059672,0.000905656,10.511447771,0.046805190,9.679082057,0.005617265,0.832365714,0.047141059
sphincsshake256ssimple,sign,100000000,100,15,1.611535786,0.000660738,1.606987486,0.000614387,0.079063148,0.000216508,0.075327943,0.000142284,1.532472638,0.000695306,1.531659543,0.000630647,310.743508114,0.092856309,109.826750171,0.028777568,200.916757943,0.097213387
sphincsshake256ssimple,verify,256,100,15,0.029563832,0.000195158,0.025862157,0.000045319,0.027577923,0.000177772,0.023995400,0.000040451,0.001985909,0.000263988,0.001866757,0.000060746,9.981542400,0.013809454,9.716004571,0.007712615,0.265537829,0.015817252
sphincsshake256ssimple,verify,100000,100,15,0.030259524,0.000161863,0.026477900,0.000054102,0.027597848,0.000151387,0.024048329,0.000045818,0.002661676,0.000221625,0.002429571,0.000070897,10.242984229,0.005120721,9.719105829,0.008367362,0.523878400,0.009809920
sphincsshake256ssimple,verify,100000000,100,15,0.576180468,0.000420045,0.571972486,0.000329788,0.079220779,0.000238140,0.075506814,0.000152708,0.496959689,0.000482854,0.496465672,0.000363428,310.617468343,0.052791168,109.858874514,0.018731236,200.758593829,0.056015771
sphincsshake256ssimple,all,256,100,15,0.728461333,0.000510595,0.724771771,0.000475574,0.009012738,0.000093408,0.005960643,0.000036604,0.719448595,0.000519069,0.718811128,0.000476981,10.061414400,0.005464301,8.643730286,0.002528106,1.417684114,0.006020789
sphincsshake256ssimple,all,100000,100,15,0.729888323,0.000446521,0.726143914,0.000409309,0.009090707,0.000134721,0.006012300,0.000035603,0.720797616,0.000466402,0.720131614,0.000410855,10.356267886,0.004795658,8.658007771,0.024128403,1.698260115,0.024600369
sphincsshake256ssimple,all,100000000,100,15,2.145621320,0.000561286,2.140810457,0.000541685,0.060818264,0.000235559,0.057389914,0.000180941,2.084803056,0.000608712,2.083420543,0.000571106,310.590025143,0.058252826,108.763018971,0.053463194,201.827006172,0.079067723
