algorithm,value,std
sphincsshake256ssimple,6.0123,0.035602999999999996
sphincsshake256fsimple,6.010843,0.03192
sphincsshake192ssimple,6.0024,0.030945000000000004
sphincsshake192fsimple,6.0262,0.032008
sphincsshake128ssimple,6.013643,0.03497
sphincsshake128fsimple,6.026986,0.037938
sphincssha2256ssimple,6.023729,0.031792
sphincssha2256fsimple,6.025643,0.036992000000000004
sphincssha2192ssimple,6.0123,0.030756000000000002
sphincssha2192fsimple,6.021386,0.033846
sphincssha2128ssimple,6.010800000000001,0.036538999999999995
sphincssha2128fsimple,6.012514,0.036006
mldsa87,6.021129,0.034369000000000004
mldsa65,6.010800000000001,0.036055
mldsa44,6.046843,0.032626
falcon512,6.038386,0.035848
falcon1024,6.051243,0.039416
RSA,6.036629,0.035747999999999995
EC,6.038886000000001,0.032138
