algorithm,value,std
sphincsshake256ssimple,23.864957,0.052953
sphincsshake256fsimple,23.880657,0.047633999999999996
sphincsshake192ssimple,23.902043000000003,0.047193
sphincsshake192fsimple,23.906729000000002,0.047023
sphincsshake128ssimple,23.925386,0.045959
sphincsshake128fsimple,23.953329,0.052104000000000004
sphincssha2256ssimple,23.921643,0.053147
sphincssha2256fsimple,23.927786,0.053658
sphincssha2192ssimple,23.918043,0.041618
sphincssha2192fsimple,23.915629,0.053606999999999995
sphincssha2128ssimple,23.942914,0.044444
sphincssha2128fsimple,23.934357,0.049864000000000006
mldsa87,24.081000000000003,0.050747
mldsa65,24.096200000000003,0.053284
mldsa44,24.065086,0.046393000000000004
falcon512,24.081857000000003,0.054212
falcon1024,24.065943,0.042788
RSA,23.789286,0.047679
EC,23.836586,0.050692
