algorithm,value,std
sphincsshake256ssimple,23.9954,0.040451
sphincsshake256fsimple,24.162929,0.051029000000000005
sphincsshake192ssimple,23.967086,0.052871
sphincsshake192fsimple,24.082571,0.057407
sphincsshake128ssimple,23.904871,0.055915
sphincsshake128fsimple,23.968300000000003,0.050176000000000005
sphincssha2256ssimple,24.04,0.050979000000000003
sphincssha2256fsimple,24.1988,0.054716
sphincssha2192ssimple,23.955086,0.051474
sphincssha2192fsimple,24.059771,0.048496
sphincssha2128ssimple,23.909928999999998,0.054703999999999996
sphincssha2128fsimple,23.978314,0.049082
mldsa87,24.079257,0.05623
mldsa65,24.044442999999998,0.051451
mldsa44,24.024929,0.048897
falcon512,24.012743,0.049353
falcon1024,24.031586,0.049143
RSA,23.729186,0.045034000000000005
EC,23.745457000000002,0.046672000000000005
