algorithm,value,std
sphincsshake256ssimple,718.811128,0.47698100000000004
sphincsshake256fsimple,78.7654,0.08319
sphincsshake192ssimple,851.753157,0.611503
sphincsshake192fsimple,41.439513999999996,0.067463
sphincsshake128ssimple,502.42328599999996,0.43468199999999996
sphincsshake128fsimple,27.207929,0.065551
sphincssha2256ssimple,435.258785,0.281411
sphincssha2256fsimple,47.513042999999996,0.083068
sphincssha2192ssimple,496.328,0.31790300000000005
sphincssha2192fsimple,25.357986,0.059948
sphincssha2128ssimple,271.951428,0.183079
sphincssha2128fsimple,16.466386,0.06302
mldsa87,3.924886,0.067519
mldsa65,3.800415,0.08495000000000001
mldsa44,3.7068719999999997,0.058967
falcon512,12.194071000000001,1.0380980000000002
falcon1024,29.116057,2.117144
RSA,203.41415700000002,53.569077
EC,2.8722280000000002,0.044522
