algorithm,value,std
sphincsshake256ssimple,1531.659543,0.6306470000000001
sphincsshake256fsimple,943.608772,0.37647400000000003
sphincsshake192ssimple,1636.002429,0.687998
sphincsshake192fsimple,908.728357,0.480923
sphincsshake128ssimple,1313.7107429999999,0.63207
sphincsshake128fsimple,894.760229,0.42073499999999997
sphincssha2256ssimple,928.4635,0.539028
sphincssha2256fsimple,568.9805289999999,0.518872
sphincssha2192ssimple,975.5431140000001,0.510812
sphincssha2192fsimple,549.307729,0.459162
sphincssha2128ssimple,534.054857,0.44119800000000003
sphincssha2128fsimple,309.225814,0.325727
mldsa87,507.858,0.388959
mldsa65,495.923528,0.34298199999999995
mldsa44,495.59049999999996,0.403329
falcon512,495.770029,0.355918
falcon1024,496.4255,0.330551
RSA,92.37764299999999,0.29010400000000003
EC,91.098371,0.26094999999999996
