algorithm,value,std
sphincsshake256ssimple,496.46567200000004,0.36342800000000003
sphincsshake256fsimple,497.61240000000004,0.387858
sphincsshake192ssimple,496.212486,0.297864
sphincsshake192fsimple,497.702757,0.327934
sphincsshake128ssimple,495.590043,0.324348
sphincsshake128fsimple,496.531172,0.370624
sphincssha2256ssimple,324.53931400000005,0.41999000000000003
sphincssha2256fsimple,325.0806,0.326605
sphincssha2192ssimple,324.883643,0.358053
sphincssha2192fsimple,325.646386,0.35925399999999996
sphincssha2128ssimple,208.348872,0.36712
sphincssha2128fsimple,208.695586,0.329963
mldsa87,495.115872,0.356935
mldsa65,495.542658,0.356254
mldsa44,495.097458,0.36056
falcon512,494.991228,0.360482
falcon1024,494.6298,0.425487
RSA,90.255557,0.262172
EC,90.281343,0.277816
