algorithm,value,std
sphincsshake256ssimple,724.7717710000001,0.475574
sphincsshake256fsimple,84.725257,0.074629
sphincsshake192ssimple,857.730171,0.610632
sphincsshake192fsimple,47.403671,0.059626
sphincsshake128ssimple,508.40160000000003,0.433256
sphincsshake128fsimple,33.180529,0.051349
sphincssha2256ssimple,441.230114,0.278989
sphincssha2256fsimple,53.480986,0.072487
sphincssha2192ssimple,502.29075700000004,0.315602
sphincssha2192fsimple,31.319629000000003,0.046223
sphincssha2128ssimple,277.91461400000003,0.18004699999999998
sphincssha2128fsimple,22.444399999999998,0.051108
mldsa87,9.872328999999999,0.056258
mldsa65,9.751329,0.071525
mldsa44,9.695143,0.046528
falcon512,18.183957,1.03755
falcon1024,35.095014,2.1168340000000003
RSA,209.375686,53.569063
EC,8.850557,0.033201
