algorithm,value,std
sphincsshake256ssimple,63.637114,0.08852900000000001
sphincsshake256fsimple,11.516329,0.04229
sphincsshake192ssimple,93.244771,0.086634
sphincsshake192fsimple,9.378514,0.045942000000000004
sphincsshake128ssimple,66.1596,0.065426
sphincsshake128fsimple,8.961186,0.048528
sphincssha2256ssimple,38.870385999999996,0.069741
sphincssha2256fsimple,10.250329,0.041669
sphincssha2192ssimple,54.286457000000006,0.057227
sphincssha2192fsimple,9.062957,0.049052
sphincssha2128ssimple,39.418113999999996,0.057747
sphincssha2128fsimple,8.755729,0.043102999999999995
mldsa87,8.291314,0.048996000000000005
mldsa65,8.272371,0.051304
mldsa44,8.265043,0.051434999999999995
falcon512,16.384643,0.9533389999999999
falcon1024,33.152971,2.3159579999999997
RSA,212.011829,66.00513199999999
EC,8.083829000000001,0.040562999999999995
