algorithm,value,std
sphincsshake256ssimple,684.2718140000001,0.504992
sphincsshake256fsimple,95.096129,0.115521
sphincsshake192ssimple,787.8094570000001,0.706997
sphincsshake192fsimple,59.922957,0.07592
sphincsshake128ssimple,465.77018599999997,0.396101
sphincsshake128fsimple,46.802914,0.064724
sphincssha2256ssimple,425.89151400000003,0.337411
sphincssha2256fsimple,66.2731,0.08308499999999999
sphincssha2192ssimple,471.890129,0.313195
sphincssha2192fsimple,45.237086000000005,0.059565
sphincssha2128ssimple,262.40804299999996,0.17655500000000002
sphincssha2128fsimple,37.120529,0.047486
mldsa87,25.983657,0.06885000000000001
mldsa65,25.862942999999998,0.071033
mldsa44,25.826756999999997,0.07524700000000001
falcon512,26.0483,0.059379
falcon1024,26.388114,0.044428999999999996
RSA,26.289643,0.046373
EC,25.1523,0.052622
