algorithm,value,std
sphincsshake256ssimple,25.862157,0.045319
sphincsshake256fsimple,27.061043,0.057221
sphincsshake192ssimple,25.439300000000003,0.053857999999999996
sphincsshake192fsimple,26.927471,0.062377
sphincsshake128ssimple,25.205257,0.061035
sphincsshake128fsimple,26.287443,0.059697999999999994
sphincssha2256ssimple,26.431943,0.055342
sphincssha2256fsimple,27.200557,0.061967
sphincssha2192ssimple,26.133799999999997,0.058739
sphincssha2192fsimple,27.068671,0.067314
sphincssha2128ssimple,25.835043,0.053456
sphincssha2128fsimple,26.4333,0.055507
mldsa87,24.986570999999998,0.057491999999999994
mldsa65,24.897971000000002,0.055034
mldsa44,24.906070999999997,0.055413
falcon512,24.9022,0.05161
falcon1024,24.971986,0.060691
RSA,24.267314000000002,0.057275000000000006
EC,24.4269,0.050543
