algorithm,value,std
sphincsshake256ssimple,8.658007771,0.024128403
sphincsshake256fsimple,8.651454171,0.018264316
sphincsshake192ssimple,8.653443657,0.020496445
sphincsshake192fsimple,8.6552576,0.02265205
sphincsshake128ssimple,8.647182629,0.013928171
sphincsshake128fsimple,8.649581714,0.016636465
sphincssha2256ssimple,8.653677714,0.021222151
sphincssha2256fsimple,8.651454171,0.01933773
sphincssha2192ssimple,8.658475886,0.024412635
sphincssha2192fsimple,8.647241143,0.012995526
sphincssha2128ssimple,8.655491657,0.022689434
sphincssha2128fsimple,8.654906514,0.022156544
mldsa87,8.658475886,0.024561579
mldsa65,8.653502171,0.021205859
mldsa44,8.6540288,0.021066415
falcon512,8.650693486,0.018350929
falcon1024,8.648996571,0.015334892
RSA,8.649874286,0.016865086
EC,8.651746743,0.019077772
