algorithm,value,std
sphincsshake256ssimple,109.826750171,0.028777568
sphincsshake256fsimple,109.8125312,0.01905117
sphincsshake192ssimple,109.818207086,0.011042431
sphincsshake192fsimple,109.813525943,0.021548949
sphincsshake128ssimple,109.813818514,0.016859318
sphincsshake128fsimple,109.815866514,0.018889581
sphincssha2256ssimple,109.8207232,0.025899277
sphincssha2256fsimple,109.819552914,0.018731235
sphincssha2192ssimple,109.8211328,0.024082291
sphincssha2192fsimple,109.822069029,0.027079893
sphincssha2128ssimple,109.813642971,0.026231567
sphincssha2128fsimple,109.815632457,0.026005481
mldsa87,109.8489856,0.020514401
mldsa65,109.833245257,0.037627382
mldsa44,109.837575314,0.021429091
falcon512,109.829968457,0.02214494
falcon1024,109.838511543,0.022804877
RSA,109.794040686,0.044506477
EC,109.813525943,0.02083763
