algorithm,value,std
sphincsshake256ssimple,9.716004571,0.007712615
sphincsshake256fsimple,9.7460224,0.006987427
sphincsshake192ssimple,9.700030171,0.004463658
sphincsshake192fsimple,9.722031543,0.007066517
sphincsshake128ssimple,9.6825344,0.010417148
sphincsshake128fsimple,9.697806629,0.008314891
sphincssha2256ssimple,9.711908571,0.010674718
sphincssha2256fsimple,9.744852114,0.006672101
sphincssha2192ssimple,9.694178743,0.018445987
sphincssha2192fsimple,9.724372114,0.004808316
sphincssha2128ssimple,9.687625143,0.004534686
sphincssha2128fsimple,9.691194514,0.019877427
mldsa87,9.708456229,0.016475333
mldsa65,9.699386514,0.018191235
mldsa44,9.694237257,0.010745421
falcon512,9.684816457,0.008729012
falcon1024,9.692540343,0.00744192
RSA,9.542100114,0.107208913
EC,9.674869029,0.010080773
