algorithm,value,std
sphincsshake256ssimple,1.417684114,0.006020789
sphincsshake256fsimple,1.447584914,0.006341389
sphincsshake192ssimple,1.410486857,0.027371866
sphincsshake192fsimple,1.441265371,0.005949112
sphincsshake128ssimple,1.400480915,0.007664954
sphincsshake128fsimple,1.448989257,0.045560111
sphincssha2256ssimple,1.650219885,0.049283975
sphincssha2256fsimple,1.795861943,0.0096895
sphincssha2192ssimple,1.612712228,0.004530472
sphincssha2192fsimple,1.778658743,0.008502638
sphincssha2128ssimple,1.343253943,0.006186958
sphincssha2128fsimple,1.4843904,0.044866645
mldsa87,1.846593829,0.022619594
mldsa65,1.846242743,0.020700657
mldsa44,1.823890286,0.036147612
falcon512,1.851157943,0.015513924
falcon1024,1.902006857,0.016157386
RSA,0.880522971,0.025258381
EC,1.066422857,0.026261807
