algorithm,value,std
sphincsshake256ssimple,1.1444224,0.105736191
sphincsshake256fsimple,1.050389943,0.038748186
sphincsshake192ssimple,1.105217829,0.088689373
sphincsshake192fsimple,1.056299886,0.030871847
sphincsshake128ssimple,1.139273143,0.085997866
sphincsshake128fsimple,1.050799543,0.031317009
sphincssha2256ssimple,1.633192229,0.068875107
sphincssha2256fsimple,1.593226971,0.038537442
sphincssha2192ssimple,1.615345372,0.066982419
sphincssha2192fsimple,1.574970514,0.031176051
sphincssha2128ssimple,1.357531429,0.05563638
sphincssha2128fsimple,1.303230171,0.033830223
mldsa87,1.575906743,0.030309552
mldsa65,1.577545143,0.033520574
mldsa44,1.570113829,0.03349585
falcon512,1.850689828,0.050413515
falcon1024,1.870526172,0.074217785
RSA,0.984385829,0.021306521
EC,1.037750857,0.030674144
