algorithm,value,std
sphincsshake256ssimple,0.5238784,0.00980992
sphincsshake256fsimple,0.523702857,0.027980262
sphincsshake192ssimple,0.521479314,0.027820157
sphincsshake192fsimple,0.524112458,0.008008681
sphincsshake128ssimple,0.523527314,0.01734995
sphincsshake128fsimple,0.523819886,0.008258723
sphincssha2256ssimple,0.782804114,0.012265082
sphincssha2256fsimple,0.769989486,0.03390873
sphincssha2192ssimple,0.773149257,0.02946609
sphincssha2192fsimple,0.777654857,0.018815699
sphincssha2128ssimple,0.513813943,0.021305869
sphincssha2128fsimple,0.517617371,0.016479127
mldsa87,0.797725257,0.032534009
mldsa65,0.787602286,0.012091667
mldsa44,0.810832457,0.045602786
falcon512,1.0473472,0.014340543
falcon1024,1.044772571,0.028112101
RSA,0.011702857,0.023255171
EC,0.011293257,0.029184418
