algorithm,value,std
sphincsshake256ssimple,10.356267886,0.004795658
sphincsshake256fsimple,10.326776686,0.028303217
sphincsshake192ssimple,10.3473152,0.006959533
sphincsshake192fsimple,10.306062629,0.027070464
sphincsshake128ssimple,10.339415771,0.007344431
sphincsshake128fsimple,10.297578057,0.025894918
sphincssha2256ssimple,10.641349486,0.015786807
sphincssha2256fsimple,10.691964343,0.006574555
sphincssha2192ssimple,10.616305371,0.004976233
sphincssha2192fsimple,10.657557943,0.02162779
sphincssha2128ssimple,10.346788571,0.012224942
sphincssha2128fsimple,10.393307429,0.021500214
mldsa87,10.771017143,0.028412478
mldsa65,10.7474944,0.012340325
mldsa44,10.741174857,0.003821813
falcon512,10.889508571,0.03075122
falcon1024,10.912387657,0.016629051
RSA,9.621738057,0.005617265
EC,9.912261486,0.074032404
