algorithm,value,std
sphincsshake256ssimple,9.539584,0.103068611
sphincsshake256fsimple,9.449998629,0.02769207
sphincsshake192ssimple,9.496341943,0.086055949
sphincsshake192fsimple,9.444673829,0.024555922
sphincsshake128ssimple,9.530338743,0.083392853
sphincsshake128fsimple,9.442274743,0.022985419
sphincssha2256ssimple,10.021800229,0.066178128
sphincssha2256fsimple,9.981952,0.033480032
sphincssha2192ssimple,10.011969829,0.062004207
sphincssha2192fsimple,9.966211657,0.022764325
sphincssha2128ssimple,9.7456128,0.052678039
sphincssha2128fsimple,9.702078171,0.021159945
mldsa87,9.965685029,0.022938145
mldsa65,9.9700736,0.02476474
mldsa44,9.965333943,0.022734933
falcon512,10.241287314,0.046075444
falcon1024,10.266741029,0.070033186
RSA,9.3745152,0.004747613
EC,9.4355456,0.016596329
