algorithm,value,std
sphincsshake256ssimple,310.743508114,0.092856309
sphincsshake256fsimple,310.842514286,0.054918833
sphincsshake192ssimple,310.665216,0.06353155
sphincsshake192fsimple,310.673700571,0.065466663
sphincsshake128ssimple,310.676860343,0.057367891
sphincsshake128fsimple,310.666503314,0.048306446
sphincssha2256ssimple,310.897751771,0.030293964
sphincssha2256fsimple,310.909045029,0.039985075
sphincssha2192ssimple,310.9081088,0.037807334
sphincssha2192fsimple,310.896113371,0.031405285
sphincssha2128ssimple,310.623319771,0.022229717
sphincssha2128fsimple,310.628352,0.02561276
mldsa87,311.187982629,0.019971134
mldsa65,311.1702528,0.01932991
mldsa44,311.1694336,0.033914057
falcon512,311.260715886,0.088413044
falcon1024,311.413028571,0.028791083
RSA,110.044013714,0.059874226
EC,110.041731657,0.051239215
