algorithm,value,std
sphincsshake256ssimple,310.617468343,0.052791168
sphincsshake256fsimple,310.665391543,0.035677004
sphincsshake192ssimple,310.626069943,0.027575175
sphincsshake192fsimple,310.645262629,0.042503554
sphincsshake128ssimple,310.601552457,0.040516452
sphincsshake128fsimple,310.598685257,0.055527736
sphincssha2256ssimple,310.687217371,0.043360168
sphincssha2256fsimple,310.735784229,0.056058263
sphincssha2192ssimple,310.662290286,0.037235729
sphincssha2192fsimple,310.675221943,0.025003992
sphincssha2128ssimple,310.390140343,0.043502728
sphincssha2128fsimple,310.3936512,0.030503354
mldsa87,310.925838629,0.024911784
mldsa65,310.9195776,0.030581371
mldsa44,310.90688,0.018892889
falcon512,311.114313143,0.05138682
falcon1024,311.133154743,0.051341378
RSA,109.829675886,0.027715079
EC,109.841846857,0.037092731
