algorithm,value,std
sphincsshake256ssimple,9.012737999999999,0.09340799999999999
sphincsshake256fsimple,9.021085,0.114486
sphincsshake192ssimple,9.029994,0.08914799999999999
sphincsshake192fsimple,9.005172,0.093402
sphincsshake128ssimple,9.039833,0.097675
sphincsshake128fsimple,8.981382,0.080457
sphincssha2256ssimple,9.050180999999998,0.085057
sphincssha2256fsimple,9.022860000000001,0.080902
sphincssha2192ssimple,9.000829999999999,0.1005
sphincssha2192fsimple,9.095043,0.09154599999999999
sphincssha2128ssimple,9.051605,0.088958
sphincssha2128fsimple,9.121105,0.115718
mldsa87,8.993691,0.103504
mldsa65,9.018015,0.11351299999999999
mldsa44,9.095967,0.12253899999999998
falcon512,9.033054,0.083137
falcon1024,9.009599,0.09506200000000001
RSA,8.992144,0.094181
EC,9.033368999999999,0.08821499999999999
