algorithm,value,std
sphincsshake256ssimple,79.063148,0.216508
sphincsshake256fsimple,79.017285,0.238557
sphincsshake192ssimple,79.020114,0.262882
sphincsshake192fsimple,79.04071499999999,0.180958
sphincsshake128ssimple,79.07583799999999,0.272476
sphincsshake128fsimple,79.059426,0.21589999999999998
sphincssha2256ssimple,79.045713,0.19714099999999998
sphincssha2256fsimple,79.039951,0.212461
sphincssha2192ssimple,78.989841,0.189238
sphincssha2192fsimple,79.07542500000001,0.218353
sphincssha2128ssimple,78.996572,0.214957
sphincssha2128fsimple,79.04297100000001,0.251794
mldsa87,79.154818,0.224346
mldsa65,79.21803700000001,0.181012
mldsa44,79.501474,0.233864
falcon512,79.38489799999999,0.21756799999999998
falcon1024,79.48751299999999,0.27553099999999997
RSA,79.00384700000001,0.225869
EC,79.077229,0.24640900000000002
