algorithm,value,std
sphincsshake256ssimple,27.597848000000003,0.151387
sphincsshake256fsimple,27.770442,0.15472899999999998
sphincsshake192ssimple,27.613460999999997,0.15921
sphincsshake192fsimple,27.792351,0.160616
sphincsshake128ssimple,27.496264,0.153357
sphincsshake128fsimple,27.598233999999998,0.176545
sphincssha2256ssimple,27.722396,0.167855
sphincssha2256fsimple,27.875925,0.13142199999999998
sphincssha2192ssimple,27.576007999999998,0.12733
sphincssha2192fsimple,27.773048000000003,0.16715100000000002
sphincssha2128ssimple,27.620903,0.19572
sphincssha2128fsimple,27.570470999999998,0.199265
mldsa87,27.787333,0.149548
mldsa65,27.718501,0.157957
mldsa44,27.676230999999998,0.180823
falcon512,27.678411999999998,0.153313
falcon1024,27.704525,0.15348
RSA,27.261183000000003,0.13247199999999998
EC,27.356259,0.122397
