algorithm,value,std
sphincsshake256ssimple,720.7976160000001,0.466402
sphincsshake256fsimple,80.540769,0.199724
sphincsshake192ssimple,853.679702,0.653653
sphincsshake192fsimple,43.154268,0.183301
sphincsshake128ssimple,504.16232400000007,0.479074
sphincsshake128fsimple,28.869177999999998,0.171931
sphincssha2256ssimple,436.607959,0.428867
sphincssha2256fsimple,48.681122,0.185547
sphincssha2192ssimple,497.732959,0.375141
sphincssha2192fsimple,26.510323,0.166932
sphincssha2128ssimple,272.76443500000005,0.29574799999999996
sphincssha2128fsimple,17.211036999999997,0.15679800000000002
mldsa87,5.153166,0.16432
mldsa65,5.019348,0.157421
mldsa44,4.912278,0.131051
falcon512,14.01173,1.1658169999999999
falcon1024,30.10419,1.716976
RSA,212.731232,70.66002999999999
EC,3.2687660000000003,0.137352
