algorithm,value,std
sphincsshake256ssimple,1532.472638,0.695306
sphincsshake256fsimple,944.454704,0.437261
sphincsshake192ssimple,1636.899369,0.735822
sphincsshake192fsimple,909.391717,0.50695
sphincsshake128ssimple,1314.519604,0.654214
sphincsshake128fsimple,895.585061,0.5099250000000001
sphincssha2256ssimple,929.184538,0.56297
sphincssha2256fsimple,569.349376,0.5656180000000001
sphincssha2192ssimple,976.26617,0.51125
sphincssha2192fsimple,549.651216,0.499729
sphincssha2128ssimple,534.40115,0.469228
sphincssha2128fsimple,309.564345,0.38613
mldsa87,508.61559300000005,0.422333
mldsa65,496.591949,0.367962
mldsa44,496.27141,0.469555
falcon512,496.49401,0.398777
falcon1024,496.962984,0.461621
RSA,92.694912,0.35572400000000004
EC,91.465345,0.355681
