algorithm,value,std
sphincsshake256ssimple,1.9859090000000001,0.263988
sphincsshake256fsimple,3.106725,0.251769
sphincsshake192ssimple,1.674827,0.217224
sphincsshake192fsimple,2.953547,0.24405
sphincsshake128ssimple,1.49643,0.242843
sphincsshake128fsimple,2.581795,0.21576599999999999
sphincssha2256ssimple,2.572401,0.24668500000000002
sphincssha2256fsimple,3.215865,0.232482
sphincssha2192ssimple,2.303401,0.237205
sphincssha2192fsimple,3.14048,0.228491
sphincssha2128ssimple,1.9999979999999997,0.209152
sphincssha2128fsimple,2.524681,0.225704
mldsa87,1.153474,0.258232
mldsa65,1.0815130000000002,0.205283
mldsa44,1.115193,0.225413
falcon512,1.15573,0.228458
falcon1024,1.176302,0.207899
RSA,0.5715979999999999,0.224951
EC,0.8034220000000001,0.19000399999999998
