algorithm,value,std
sphincsshake256ssimple,728.4613330000001,0.510595
sphincsshake256fsimple,88.153853,0.151813
sphincsshake192ssimple,861.5762649999999,0.644096
sphincsshake192fsimple,50.819185000000004,0.134576
sphincsshake128ssimple,512.0572589999999,0.47386900000000004
sphincsshake128fsimple,36.562849,0.15261
sphincssha2256ssimple,444.70838299999997,0.289031
sphincssha2256fsimple,56.839903,0.14626099999999997
sphincssha2192ssimple,505.787899,0.339258
sphincssha2192fsimple,34.669704,0.16362200000000002
sphincssha2128ssimple,281.318988,0.227904
sphincssha2128fsimple,25.736631,0.148347
mldsa87,13.217659,0.12820299999999998
mldsa65,13.151213,0.128223
mldsa44,12.947381,0.093651
falcon512,21.689188,1.051644
falcon1024,38.585046,2.136668
RSA,212.95260299999998,53.540040999999995
EC,12.156495999999999,0.096737
