algorithm,value,std
sphincsshake256ssimple,67.008731,0.166843
sphincsshake256fsimple,14.748627,0.134863
sphincsshake192ssimple,96.580001,0.136573
sphincsshake192fsimple,12.585327,0.10052799999999999
sphincsshake128ssimple,69.52438599999999,0.13930099999999998
sphincsshake128fsimple,12.169749000000001,0.107241
sphincssha2256ssimple,42.189716000000004,0.12118999999999999
sphincssha2256fsimple,13.425199000000001,0.119982
sphincssha2192ssimple,57.581674,0.101825
sphincssha2192fsimple,12.324149,0.12368200000000001
sphincssha2128ssimple,42.732548,0.13086599999999998
sphincssha2128fsimple,11.911064000000001,0.120733
mldsa87,11.547259,0.117589
mldsa65,11.564597,0.12409699999999999
mldsa44,11.517092,0.115603
falcon512,19.733802,0.9823919999999999
falcon1024,36.628568,2.291337
RSA,215.418071,65.95623400000001
EC,11.281061,0.102722
