algorithm,value,std
sphincsshake256ssimple,1611.535786,0.660738
sphincsshake256fsimple,1023.4719889999999,0.366453
sphincsshake192ssimple,1715.919483,0.687261
sphincsshake192fsimple,988.432432,0.473553
sphincsshake128ssimple,1393.595442,0.594771
sphincsshake128fsimple,974.6444869999999,0.461964
sphincssha2256ssimple,1008.2302510000001,0.527324
sphincssha2256fsimple,648.389327,0.524198
sphincssha2192ssimple,1055.256011,0.474937
sphincssha2192fsimple,628.726641,0.449501
sphincssha2128ssimple,613.3977219999999,0.417095
sphincssha2128fsimple,388.60731599999997,0.29273899999999997
mldsa87,587.7704110000001,0.357819
mldsa65,575.809986,0.32036
mldsa44,575.7728840000001,0.407173
falcon512,575.8789079999999,0.334197
falcon1024,576.4504969999999,0.370374
RSA,171.698759,0.274814
EC,170.542574,0.256499
