algorithm,value,std
sphincsshake256ssimple,29.563832,0.195158
sphincsshake256fsimple,30.948503,0.17545000000000002
sphincsshake192ssimple,29.141889,0.170646
sphincsshake192fsimple,30.611786,0.180978
sphincsshake128ssimple,28.907949,0.19678299999999999
sphincsshake128fsimple,30.042778,0.165317
sphincssha2256ssimple,30.242125,0.171012
sphincssha2256fsimple,31.043872999999998,0.172058
sphincssha2192ssimple,29.826655,0.169739
sphincssha2192fsimple,30.790028,0.16975900000000002
sphincssha2128ssimple,29.491759,0.143718
sphincssha2128fsimple,30.060683,0.14748
mldsa87,28.821711,0.209673
mldsa65,28.696716000000002,0.14802500000000002
mldsa44,28.69356,0.177686
falcon512,28.780247,0.154499
falcon1024,28.801452,0.16350800000000001
RSA,27.876613000000003,0.148415
EC,28.033125,0.13958199999999998
