algorithm,operation,size,reps,trim_pct,trim_wall_s_raw,std_wall_s_raw,trim_cpu_s_raw,std_cpu_s_raw,trim_wall_s_base,std_wall_s_base,trim_cpu_s_base,std_cpu_s_base,net_wall_s,std_net_wall_s,net_cpu_s,std_net_cpu_s,trim_mem_mb,std_mem_mb
sphincsshake256ssimple,keygen,-,100,15,0.067838706,0.000127863,0.064337371,0.000071547,0.009264913,0.000112964,0.006105829,0.000054255,0.058573793,0.000170616,0.058231542,0.000089792,9.492187429,0.081820720
sphincsshake256ssimple,sign,10000000,100,15,0.787568984,0.000311648,0.782862743,0.000283718,0.033457105,0.000148061,0.029620743,0.000075469,0.754111879,0.000345031,0.753242000,0.000293584,40.209905371,0.091086002
sphincsshake256ssimple,sign,100000000,100,15,1.640328698,0.000518207,1.635453643,0.000511502,0.082468655,0.000248525,0.078565629,0.000210591,1.557860043,0.000574720,1.556888014,0.000553157,310.748130743,0.093583752
sphincsshake256ssimple,sign,1000000000,100,15,10.069275179,0.002426429,10.063151600,0.002436442,0.601713700,0.000544040,0.597539229,0.000591779,9.467561479,0.002486672,9.465612371,0.002507280,3015.976901486,0.046423595
sphincsshake256ssimple,verify,10000000,100,15,0.085370770,0.000148658,0.081171143,0.000092746,0.033678126,0.000180385,0.029797443,0.000076267,0.051692644,0.000233748,0.051373700,0.000120077,40.100249600,0.043214003
sphincsshake256ssimple,verify,100000000,100,15,0.595799554,0.000438291,0.591437857,0.000435942,0.082858844,0.000289861,0.078877014,0.000263232,0.512940710,0.000525470,0.512560843,0.000509251,310.636017371,0.040775092
sphincsshake256ssimple,verify,1000000000,100,15,5.606503998,0.002139835,5.601113686,0.002144923,0.601866565,0.000597249,0.597774129,0.000590162,5.004637433,0.002221621,5.003339557,0.002224632,3015.774149486,0.061297387
sphincsshake256ssimple,all,10000000,100,15,0.876584905,0.000277590,0.872607114,0.000267079,0.014780394,0.000142609,0.011558314,0.000072891,0.861804511,0.000312079,0.861048800,0.000276847,40.182871771,0.016764276
sphincsshake256ssimple,all,100000000,100,15,2.184198279,0.000627926,2.179222471,0.000655763,0.063978546,0.000218302,0.060469529,0.000166197,2.120219733,0.000664791,2.118752942,0.000676496,310.585636571,0.055633320
sphincsshake256ssimple,all,1000000000,100,15,15.116892549,0.003106548,15.110207457,0.003137013,0.583523247,0.000616530,0.579783286,0.000619954,14.533369302,0.003167136,14.530424171,0.003197686,3015.904460800,0.032376830
sphincsshake256fsimple,keygen,-,100,15,0.015207782,0.000141834,0.011789986,0.000047682,0.009313621,0.000108708,0.006132000,0.000053909,0.005894161,0.000178702,0.005657986,0.000071971,9.448769829,0.026971932
sphincsshake256fsimple,sign,10000000,100,15,0.193632966,0.000209186,0.189133786,0.000145804,0.033467499,0.000157837,0.029613029,0.000084903,0.160165467,0.000262052,0.159520757,0.000168723,40.329450057,0.030650751
sphincsshake256fsimple,sign,100000000,100,15,1.047591320,0.000387036,1.042796486,0.000375303,0.082529645,0.000246857,0.078533414,0.000235979,0.965061675,0.000459059,0.964263072,0.000443327,310.850179657,0.043216738
sphincsshake256fsimple,sign,1000000000,100,15,9.485838421,0.001645173,9.479895400,0.001666792,0.601813250,0.000450715,0.597695714,0.000413774,8.884025171,0.001705795,8.882199686,0.001717383,3016.045421714,0.085136297
sphincsshake256fsimple,verify,10000000,100,15,0.086622588,0.000138052,0.082318814,0.000077496,0.033899798,0.000144582,0.029963186,0.000072261,0.052722790,0.000199906,0.052355628,0.000105959,40.152093257,0.015584404
sphincsshake256fsimple,verify,100000000,100,15,0.597349309,0.000602263,0.592926100,0.000611780,0.082943724,0.000270643,0.079008014,0.000221625,0.514405585,0.000660279,0.513918086,0.000650686,310.672998400,0.025260510
sphincsshake256fsimple,verify,1000000000,100,15,5.607003420,0.001871189,5.601544629,0.001894258,0.602222248,0.000511353,0.598110900,0.000456675,5.004781172,0.001939802,5.003433729,0.001948529,3015.977428114,0.052723939
sphincsshake256fsimple,all,10000000,100,15,0.231381700,0.000187419,0.227585629,0.000113026,0.014757328,0.000121536,0.011541343,0.000081720,0.216624372,0.000223376,0.216044286,0.000139474,40.156657371,0.030880228
sphincsshake256fsimple,all,100000000,100,15,1.539118506,0.000597974,1.534278829,0.000617004,0.063925471,0.000193827,0.060483400,0.000158152,1.475193035,0.000628603,1.473795429,0.000636951,310.603307886,0.050592890
sphincsshake256fsimple,all,1000000000,100,15,14.471321937,0.003484708,14.464649729,0.003508882,0.583715991,0.000613120,0.579989571,0.000606710,13.887605946,0.003538235,13.884660158,0.003560948,3015.921488457,0.038647445
sphincsshake192ssimple,keygen,-,100,15,0.097667431,0.000135636,0.094162086,0.000083303,0.009325189,0.000135010,0.006118143,0.000055843,0.088342242,0.000191376,0.088043943,0.000100289,9.498799543,0.078696842
sphincsshake192ssimple,sign,10000000,100,15,0.892149605,0.000669876,0.887453171,0.000627981,0.033504707,0.000156712,0.029603629,0.000087619,0.858644898,0.000687963,0.857849542,0.000634064,40.186909257,0.079365236
sphincsshake192ssimple,sign,100000000,100,15,1.746230425,0.000765374,1.741356857,0.000764408,0.082684163,0.000264498,0.078620057,0.000228904,1.663546262,0.000809788,1.662736800,0.000797945,310.669136457,0.057430585
sphincsshake192ssimple,sign,1000000000,100,15,10.184718126,0.002011230,10.178599800,0.001960384,0.602314296,0.000650464,0.598181057,0.000615615,9.582403830,0.002113800,9.580418743,0.002054772,3015.968709486,0.038529853
sphincsshake192ssimple,verify,10000000,100,15,0.085037214,0.000161645,0.080741786,0.000088799,0.033637687,0.000150173,0.029715729,0.000073222,0.051399527,0.000220638,0.051026057,0.000115094,40.077077943,0.045497092
sphincsshake192ssimple,verify,100000000,100,15,0.595458815,0.000350409,0.591078486,0.000289209,0.082726947,0.000216650,0.078764329,0.000231014,0.512731868,0.000411975,0.512314157,0.000370148,310.612611657,0.045384728
sphincsshake192ssimple,verify,1000000000,100,15,5.605342329,0.001989604,5.600027286,0.002053884,0.602368334,0.000578189,0.598294100,0.000560206,5.002973995,0.002071914,5.001733186,0.002128913,3015.751855543,0.062984619
sphincsshake192ssimple,all,10000000,100,15,1.010993464,0.000704116,1.006927357,0.000696228,0.014820958,0.000119943,0.011567557,0.000082194,0.996172506,0.000714259,0.995359800,0.000701063,40.067306057,0.068272196
sphincsshake192ssimple,all,100000000,100,15,2.317530108,0.001112104,2.312519329,0.001131428,0.063967917,0.000251776,0.060492343,0.000208532,2.253562191,0.001140248,2.252026986,0.001150485,310.562230857,0.047205378
sphincsshake192ssimple,all,1000000000,100,15,15.238348865,0.003822437,15.231603200,0.003848754,0.583842549,0.000593632,0.580109714,0.000555725,14.654506316,0.003868258,14.651493486,0.003888668,3015.895040000,0.031779163
sphincsshake192fsimple,keygen,-,100,15,0.012983801,0.000110589,0.009600471,0.000046432,0.009284835,0.000100168,0.006110171,0.000049126,0.003698966,0.000149210,0.003490300,0.000067597,9.441865143,0.023057767
sphincsshake192fsimple,sign,10000000,100,15,0.158067253,0.000171333,0.153696314,0.000104816,0.033518179,0.000155214,0.029614014,0.000095194,0.124549074,0.000231185,0.124082300,0.000141592,40.146358857,0.070604808
sphincsshake192fsimple,sign,100000000,100,15,1.012034842,0.000604400,1.007325671,0.000539890,0.082567557,0.000209759,0.078667714,0.000204436,0.929467285,0.000639764,0.928657957,0.000577300,310.675865600,0.060486363
sphincsshake192fsimple,sign,1000000000,100,15,9.446765192,0.002259187,9.440610286,0.002218330,0.602563306,0.000551629,0.598406414,0.000585171,8.844201886,0.002325558,8.842203872,0.002294213,3015.962038857,0.034666823
sphincsshake192fsimple,verify,10000000,100,15,0.086513185,0.000164424,0.082258671,0.000099465,0.033769843,0.000176752,0.029855914,0.000090376,0.052743342,0.000241405,0.052402757,0.000134392,40.108675657,0.039978472
sphincsshake192fsimple,verify,100000000,100,15,0.596859610,0.000373408,0.592497771,0.000342197,0.082886253,0.000258184,0.078927657,0.000200818,0.513973357,0.000453974,0.513570114,0.000396770,310.636778057,0.049186054
sphincsshake192fsimple,verify,1000000000,100,15,5.603410409,0.001600883,5.598023271,0.001574594,0.602632718,0.000486741,0.598452757,0.000459633,5.000777691,0.001673243,4.999570514,0.001640308,3015.789714286,0.071921366
sphincsshake192fsimple,all,10000000,100,15,0.193495387,0.000147787,0.189734171,0.000113123,0.014735983,0.000104384,0.011553429,0.000061391,0.178759404,0.000180934,0.178180742,0.000128708,40.128336457,0.023258830
sphincsshake192fsimple,all,100000000,100,15,1.500485483,0.000542546,1.495577686,0.000535104,0.063964311,0.000228768,0.060477329,0.000197660,1.436521172,0.000588805,1.435100357,0.000570443,310.589674057,0.051209548
sphincsshake192fsimple,all,1000000000,100,15,14.413939252,0.003386301,14.407228329,0.003381538,0.584128262,0.000553310,0.580349386,0.000533688,13.829810990,0.003431208,13.826878943,0.003423393,3015.899604114,0.037877585
sphincsshake128ssimple,keygen,-,100,15,0.070386492,0.000134920,0.066885443,0.000086975,0.009252980,0.000098102,0.006106771,0.000047633,0.061133512,0.000166815,0.060778672,0.000099164,9.470771200,0.063215401
sphincsshake128ssimple,sign,10000000,100,15,0.567185924,0.000419413,0.562655600,0.000425420,0.033504810,0.000163428,0.029629757,0.000082575,0.533681114,0.000450129,0.533025843,0.000433360,40.154667886,0.076927757
sphincsshake128ssimple,sign,100000000,100,15,1.420218663,0.000632101,1.415437471,0.000622686,0.082690666,0.000279469,0.078654529,0.000260831,1.337527997,0.000691126,1.336782942,0.000675108,310.668200229,0.054784865
sphincsshake128ssimple,sign,1000000000,100,15,9.848568833,0.002669235,9.842447671,0.002635313,0.602645883,0.000437558,0.598439971,0.000462678,9.245922950,0.002704861,9.244007700,0.002675621,3015.955075657,0.022742997
sphincsshake128ssimple,verify,10000000,100,15,0.084621917,0.000197532,0.080408557,0.000123343,0.033595369,0.000158306,0.029689543,0.000082275,0.051026548,0.000253140,0.050719014,0.000148266,40.074503314,0.033482159
sphincsshake128ssimple,verify,100000000,100,15,0.595228891,0.000611084,0.590823214,0.000610121,0.082671531,0.000273775,0.078698629,0.000255288,0.512557360,0.000669609,0.512124585,0.000661377,310.591722057,0.049633865
sphincsshake128ssimple,verify,1000000000,100,15,5.598332787,0.002260747,5.592928743,0.002269385,0.602676105,0.000592962,0.598560700,0.000574424,4.995656682,0.002337216,4.994368043,0.002340955,3015.736641829,0.059450703
sphincsshake128ssimple,all,10000000,100,15,0.658250281,0.000374886,0.654364600,0.000346002,0.014791698,0.000102176,0.011545100,0.000061259,0.643458583,0.000388561,0.642819500,0.000351383,40.081876114,0.074555396
sphincsshake128ssimple,all,100000000,100,15,1.966308120,0.000701156,1.961305043,0.000683036,0.064071302,0.000203758,0.060528214,0.000188709,1.902236818,0.000730162,1.900776829,0.000708625,310.550235429,0.049851074
sphincsshake128ssimple,all,1000000000,100,15,14.889996800,0.003306671,14.883148386,0.003376739,0.584071699,0.000584248,0.580373343,0.000559446,14.305925101,0.003357889,14.302775043,0.003422769,3015.889715200,0.027433418
sphincsshake128fsimple,keygen,-,100,15,0.012590352,0.000112046,0.009204971,0.000067505,0.009236130,0.000106431,0.006122943,0.000046549,0.003354222,0.000154538,0.003082028,0.000081998,9.449179429,0.027145809
sphincsshake128fsimple,sign,10000000,100,15,0.144798402,0.000194515,0.140414529,0.000127634,0.033538409,0.000164085,0.029639629,0.000093013,0.111259993,0.000254480,0.110774900,0.000157930,40.137932800,0.062261036
sphincsshake128fsimple,sign,100000000,100,15,0.998180740,0.000523704,0.993408357,0.000551510,0.082564460,0.000302397,0.078658843,0.000236703,0.915616280,0.000604739,0.914749514,0.000600160,310.671769600,0.059395173
sphincsshake128fsimple,sign,1000000000,100,15,9.423695071,0.002531979,9.417672243,0.002471727,0.602799234,0.000537683,0.598629900,0.000495776,8.820895837,0.002588440,8.819042343,0.002520958,3015.965140114,0.032216536
sphincsshake128fsimple,verify,10000000,100,15,0.085665599,0.000209948,0.081486471,0.000142759,0.033576649,0.000177215,0.029706543,0.000085711,0.052088950,0.000274742,0.051779928,0.000166513,40.092876800,0.028329469
sphincsshake128fsimple,verify,100000000,100,15,0.595995440,0.000383937,0.591618900,0.000369994,0.082712619,0.000241174,0.078785757,0.000234567,0.513282821,0.000453401,0.512833143,0.000438084,310.607813486,0.052899791
sphincsshake128fsimple,verify,1000000000,100,15,5.599868986,0.003015641,5.594455114,0.003037056,0.602626526,0.000506037,0.598518400,0.000530933,4.997242460,0.003057804,4.995936714,0.003083115,3015.763148800,0.066856012
sphincsshake128fsimple,all,10000000,100,15,0.179343509,0.000167486,0.175613257,0.000102624,0.014763189,0.000132653,0.011556571,0.000062144,0.164580320,0.000213655,0.164056686,0.000119973,40.102824229,0.027453975
sphincsshake128fsimple,all,100000000,100,15,1.487611152,0.000692338,1.482723314,0.000637381,0.063952175,0.000211401,0.060451271,0.000176974,1.423658977,0.000723894,1.422272043,0.000661494,310.564922514,0.061175239
sphincsshake128fsimple,all,1000000000,100,15,14.413633040,0.004652585,14.406833529,0.004664073,0.584178642,0.000533252,0.580439971,0.000505454,13.829454398,0.004683044,13.826393558,0.004691382,3015.883688229,0.035489163
sphincssha2256ssimple,keygen,-,100,15,0.042943109,0.000133567,0.039406071,0.000076014,0.009310533,0.000100278,0.006120943,0.000043145,0.033632576,0.000167020,0.033285128,0.000087405,9.979669943,0.039978471
sphincssha2256ssimple,sign,10000000,100,15,0.492129510,0.000308928,0.487738400,0.000253967,0.033547166,0.000144752,0.029655129,0.000073309,0.458582344,0.000341159,0.458083271,0.000264336,40.355722971,0.014755514
