algorithm,value,std
sphincsshake256ssimple,579.783286,0.619954
sphincsshake256fsimple,579.9895710000001,0.60671
sphincsshake192ssimple,580.109714,0.555725
sphincsshake192fsimple,580.349386,0.533688
sphincsshake128ssimple,580.373343,0.559446
sphincsshake128fsimple,580.439971,0.5054540000000001
sphincssha2256ssimple,580.572171,0.5790310000000001
sphincssha2256fsimple,580.2747430000001,0.506787
sphincssha2192ssimple,580.7032859999999,0.5701350000000001
sphincssha2192fsimple,580.462371,0.6809000000000001
sphincssha2128ssimple,580.566943,0.631673
sphincssha2128fsimple,580.648814,0.53688
mldsa87,580.509029,0.457413
mldsa65,581.184171,0.759055
mldsa44,581.031043,0.49855299999999997
falcon512,581.0693289999999,0.525602
falcon1024,581.273343,0.64471
RSA,581.2720139999999,0.588624
EC,581.296014,0.46166
