algorithm,value,std
sphincsshake256ssimple,6.105829,0.054255000000000005
sphincsshake256fsimple,6.132000000000001,0.053909
sphincsshake192ssimple,6.118143000000001,0.055843000000000004
sphincsshake192fsimple,6.110171,0.049125999999999996
sphincsshake128ssimple,6.106771,0.047633
sphincsshake128fsimple,6.122942999999999,0.046549
sphincssha2256ssimple,6.1209430000000005,0.043145
sphincssha2256fsimple,6.1441289999999995,0.052029
sphincssha2192ssimple,6.125071,0.051798000000000004
sphincssha2192fsimple,6.120571,0.038206
sphincssha2128ssimple,6.1284,0.048935
sphincssha2128fsimple,6.123329,0.055974
mldsa87,6.124343,0.043357
mldsa65,6.1222710000000005,0.044400999999999996
mldsa44,6.137871,0.049241
falcon512,6.1122570000000005,0.041442
falcon1024,6.1152999999999995,0.042699
RSA,6.1307,0.043401
EC,6.109271000000001,0.052154000000000006
