algorithm,value,std
sphincsshake256ssimple,29.620743,0.07546900000000001
sphincsshake256fsimple,29.613028999999997,0.08490299999999999
sphincsshake192ssimple,29.603628999999998,0.087619
sphincsshake192fsimple,29.614014,0.095194
sphincsshake128ssimple,29.629756999999998,0.082575
sphincsshake128fsimple,29.639629,0.093013
sphincssha2256ssimple,29.655129,0.073309
sphincssha2256fsimple,29.647429,0.09103299999999999
sphincssha2192ssimple,29.6,0.08187900000000001
sphincssha2192fsimple,29.658843,0.09364
sphincssha2128ssimple,29.659186000000002,0.086316
sphincssha2128fsimple,29.684871,0.094965
mldsa87,29.816,0.090428
mldsa65,29.805086000000003,0.084148
mldsa44,29.760471,0.078678
falcon512,29.763914,0.094283
falcon1024,29.766043,0.092801
RSA,29.495886,0.073438
EC,29.525457000000003,0.091166
