algorithm,value,std
sphincsshake256ssimple,597.774129,0.590162
sphincsshake256fsimple,598.1109,0.456675
sphincsshake192ssimple,598.2941000000001,0.5602060000000001
sphincsshake192fsimple,598.452757,0.45963299999999996
sphincsshake128ssimple,598.5607,0.574424
sphincsshake128fsimple,598.5184,0.530933
sphincssha2256ssimple,598.748586,0.574248
sphincssha2256fsimple,598.8596,0.510883
sphincssha2192ssimple,598.6639289999999,0.428282
sphincssha2192fsimple,598.933229,0.7576860000000001
sphincssha2128ssimple,599.0395,0.7514820000000001
sphincssha2128fsimple,599.008043,0.695581
mldsa87,598.8919139999999,0.635414
mldsa65,598.9385430000001,0.70141
mldsa44,599.469429,0.545483
falcon512,599.308457,0.590217
falcon1024,599.3343,0.552882
RSA,599.111971,0.6091150000000001
EC,599.1307139999999,0.58367
