algorithm,value,std
sphincsshake256ssimple,861.0487999999999,0.276847
sphincsshake256fsimple,216.044286,0.139474
sphincsshake192ssimple,995.3598000000001,0.701063
sphincsshake192fsimple,178.180742,0.128708
sphincsshake128ssimple,642.8195,0.351383
sphincsshake128fsimple,164.056686,0.119973
sphincssha2256ssimple,523.088386,0.40409
sphincssha2256fsimple,132.030285,0.151694
sphincssha2192ssimple,584.6293000000001,0.26257199999999997
sphincssha2192fsimple,109.8087,0.122331
sphincssha2128ssimple,323.72871399999997,0.197923
sphincssha2128fsimple,65.9464,0.12257199999999999
mldsa87,102.481214,0.128503
mldsa65,102.264814,0.144736
mldsa44,102.20662899999999,0.122106
falcon512,110.838057,1.179305
falcon1024,127.77340000000001,1.948953
RSA,233.94899999999998,64.60184500000001
EC,21.139457,0.104121
