algorithm,value,std
sphincsshake256ssimple,58.231542,0.089792
sphincsshake256fsimple,5.657986,0.07197100000000001
sphincsshake192ssimple,88.043943,0.100289
sphincsshake192fsimple,3.4903,0.06759699999999999
sphincsshake128ssimple,60.778672,0.099164
sphincsshake128fsimple,3.082028,0.081998
sphincssha2256ssimple,33.285128,0.087405
sphincssha2256fsimple,4.387842,0.073565
sphincssha2192ssimple,48.807643,0.078207
sphincssha2192fsimple,3.2038,0.066278
sphincssha2128ssimple,33.799229,0.088853
sphincssha2128fsimple,2.896371,0.074767
mldsa87,2.440571,0.075254
mldsa65,2.412058,0.06781799999999999
mldsa44,2.360786,0.074391
falcon512,10.601243,0.849927
falcon1024,27.010143,2.245246
RSA,185.906643,53.709379
EC,2.191615,0.077803
