algorithm,value,std
sphincsshake256ssimple,753.242,0.293584
sphincsshake256fsimple,159.520757,0.16872299999999998
sphincsshake192ssimple,857.8495419999999,0.6340640000000001
sphincsshake192fsimple,124.0823,0.141592
sphincsshake128ssimple,533.025843,0.43335999999999997
sphincsshake128fsimple,110.7749,0.15793
sphincssha2256ssimple,458.083271,0.264336
sphincssha2256fsimple,95.4247,0.15334899999999999
sphincssha2192ssimple,504.910914,0.28715799999999997
sphincssha2192fsimple,74.35454299999999,0.150671
sphincssha2128ssimple,270.2615,0.20914100000000002
sphincssha2128fsimple,42.8621,0.14494900000000002
mldsa87,52.722485999999996,0.147243
mldsa65,51.471157,0.148586
mldsa44,51.431629,0.15683599999999998
falcon512,51.574172000000004,0.137665
falcon1024,51.996114000000006,0.138803
RSA,11.740414,0.115055
EC,10.517357,0.11594099999999999
