algorithm,value,std
sphincsshake256ssimple,51.3737,0.12007699999999999
sphincsshake256fsimple,52.355628,0.10595900000000001
sphincsshake192ssimple,51.026057,0.115094
sphincsshake192fsimple,52.402757,0.13439199999999998
sphincsshake128ssimple,50.719014,0.148266
sphincsshake128fsimple,51.779928000000005,0.166513
sphincssha2256ssimple,34.512886,0.133754
sphincssha2256fsimple,35.135415,0.142181
sphincssha2192ssimple,34.316584999999996,0.12668600000000002
sphincssha2192fsimple,35.110329,0.129622
sphincssha2128ssimple,22.354714,0.134703
sphincssha2128fsimple,22.878186,0.119087
mldsa87,50.456386,0.13030999999999998
mldsa65,50.474115,0.135793
mldsa44,50.453557,0.133986
falcon512,50.426243,0.13485
falcon1024,50.453043,0.14526
RSA,9.642757,0.114122
EC,9.754456999999999,0.12142700000000001
