algorithm,value,std
sphincsshake256ssimple,2179.222471,0.655763
sphincsshake256fsimple,1534.278829,0.617004
sphincsshake192ssimple,2312.519329,1.131428
sphincsshake192fsimple,1495.577686,0.535104
sphincsshake128ssimple,1961.305043,0.6830360000000001
sphincsshake128fsimple,1482.723314,0.637381
sphincssha2256ssimple,1370.072129,0.6717879999999999
sphincssha2256fsimple,979.5814710000001,0.661725
sphincssha2192ssimple,1432.565429,0.742019
sphincssha2192fsimple,957.887843,0.838712
sphincssha2128ssimple,856.461657,0.432376
sphincssha2128fsimple,599.820557,0.591854
mldsa87,1077.521,0.618119
mldsa65,1077.0735570000002,0.495634
mldsa44,1076.932386,0.737618
falcon512,1085.684157,1.429512
falcon1024,1102.808971,1.869775
RSA,484.82027100000005,79.798458
EC,244.735029,0.288441
