algorithm,value,std
sphincsshake256ssimple,64.337371,0.071547
sphincsshake256fsimple,11.789986,0.047682
sphincsshake192ssimple,94.162086,0.083303
sphincsshake192fsimple,9.600470999999999,0.046432
sphincsshake128ssimple,66.88544300000001,0.086975
sphincsshake128fsimple,9.204970999999999,0.067505
sphincssha2256ssimple,39.406071000000004,0.076014
sphincssha2256fsimple,10.531970999999999,0.052008
sphincssha2192ssimple,54.932714,0.058594
sphincssha2192fsimple,9.324371,0.054158
sphincssha2128ssimple,39.927628999999996,0.07416400000000001
sphincssha2128fsimple,9.0197,0.049567999999999994
mldsa87,8.564914,0.061508999999999994
mldsa65,8.534329,0.051261999999999995
mldsa44,8.498657,0.055761
falcon512,16.7135,0.848916
falcon1024,33.125443,2.24484
RSA,192.037343,53.709360999999994
EC,8.300886,0.057734
