algorithm,value,std
sphincsshake256ssimple,782.862743,0.283718
sphincsshake256fsimple,189.133786,0.145804
sphincsshake192ssimple,887.453171,0.627981
sphincsshake192fsimple,153.696314,0.10481599999999999
sphincsshake128ssimple,562.6556,0.42541999999999996
sphincsshake128fsimple,140.41452900000002,0.127634
sphincssha2256ssimple,487.7384,0.253967
sphincssha2256fsimple,125.072129,0.12340499999999999
sphincssha2192ssimple,534.510914,0.275237
sphincssha2192fsimple,104.013386,0.118039
sphincssha2128ssimple,299.920686,0.190498
sphincssha2128fsimple,72.546971,0.109507
mldsa87,82.53848599999999,0.116204
mldsa65,81.276243,0.12246199999999999
mldsa44,81.1921,0.135674
falcon512,81.338086,0.100311
falcon1024,81.762157,0.103219
RSA,41.2363,0.088569
EC,40.042814,0.071631
