algorithm,value,std
sphincsshake256ssimple,81.171143,0.092746
sphincsshake256fsimple,82.318814,0.07749600000000001
sphincsshake192ssimple,80.74178599999999,0.088799
sphincsshake192fsimple,82.258671,0.099465
sphincsshake128ssimple,80.408557,0.123343
sphincsshake128fsimple,81.48647100000001,0.142759
sphincssha2256ssimple,64.326443,0.110288
sphincssha2256fsimple,65.094529,0.103117
sphincssha2192ssimple,64.03951400000001,0.090084
sphincssha2192fsimple,64.9911,0.099372
sphincssha2128ssimple,52.083914,0.100659
sphincssha2128fsimple,52.668443,0.086837
mldsa87,80.317543,0.095374
mldsa65,80.301529,0.10376400000000001
mldsa44,80.272971,0.117356
falcon512,80.19675699999999,0.098541
falcon1024,80.256286,0.111659
RSA,39.159571,0.087833
EC,39.2892,0.082073
